industry_or_category,indicator,value,year,source_id
全国 / 企業規模計（10人以上） / 男女計,年齢,18.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,17.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,17.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,17.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.9,2009,estat-wage-structure
