industry_category,year,value,unit,gender,source_id
Ｌ学術研究，専門・技術サービス業,2000,1347000.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2005,1301715.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2010,1283629.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,1262706.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,1328211.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,1511048.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,1622360.0,人,男,estat-national-census
Ｌ学術研究，専門・技術サービス業,1995,617000.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2000,627000.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2005,608763.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2010,618586.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,656419.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,774863.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,788338.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,938668.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,1995,3778000.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2000,3803000.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2005,3664043.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2010,3423208.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,3249190.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,3095434.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,3775269.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,3670432.0,人,総数,estat-national-census
Ｍ宿泊業，飲食サービス業,1995,1533000.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2000,1501000.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2005,1432079.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2010,1316404.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,1225971.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,1161705.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,1455147.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,1407683.0,人,男,estat-national-census
Ｍ宿泊業，飲食サービス業,1995,2245000.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2000,2302000.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2005,2231964.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2010,2106804.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,2023219.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,1933729.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2015,2320122.0,人,女,estat-national-census
Ｍ宿泊業，飲食サービス業,2020,2262749.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,1995,2424000.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2000,2404000.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2005,2329659.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2010,2198515.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,2072228.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2020,1979446.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,2370615.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,2020,2318199.0,人,総数,estat-national-census
Ｎ生活関連サービス業，娯楽業,1995,992000.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2000,982000.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2005,953961.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2010,889847.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,821361.0,人,男,estat-national-census
