value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
3409,012,人口・５５－５９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3783,012,人口・５５－５９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3863,012,人口・５５－５９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
2601,012,人口・５５－５９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3102,012,人口・５５－５９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3590,012,人口・５５－５９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3942,012,人口・５５－５９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4014,012,人口・５５－５９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4284,013,人口・６０－６４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4465,013,人口・６０－６４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
5406,013,人口・６０－６４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
6745,013,人口・６０－６４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
6923,013,人口・６０－６４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1936,013,人口・６０－６４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
1946,013,人口・６０－６４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
2380,013,人口・６０－６４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3237,013,人口・６０－６４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3336,013,人口・６０－６４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
2348,013,人口・６０－６４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
2519,013,人口・６０－６４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3026,013,人口・６０－６４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3508,013,人口・６０－６４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3586,013,人口・６０－６４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
3449,014,人口・６５－６９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3965,014,人口・６５－６９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4193,014,人口・６５－６９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
