value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
11,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2024000000,2024年
48,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2024000000,2024年
74,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2024000000,2024年
118,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2024000000,2024年
578,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2024000000,2024年
1467,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2024000000,2024年
58,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2024000000,2024年
20,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2024000000,2024年
38,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2024000000,2024年
500,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2024000000,2024年
279,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2024000000,2024年
62,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2024000000,2024年
102,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2024000000,2024年
24,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2024000000,2024年
16,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2024000000,2024年
106,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2024000000,2024年
234,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2024000000,2024年
21,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2024000000,2024年
7,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2024000000,2024年
