value,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B30,大分県　県南・大野直入,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B40,大分県　県北・日田玖珠,1997000000,1997年
5,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45000,宮崎県,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B01,宮崎県　人口10万以上市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B02,宮崎県　人口5～10万市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B03,宮崎県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B04,宮崎県　町村,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B10,宮崎県　県央,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B20,宮崎県　県南,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,45B30,宮崎県　県北,1997000000,1997年
5,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46000,鹿児島県,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B01,鹿児島県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B02,鹿児島県　人口5～10万市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B03,鹿児島県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B04,鹿児島県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B10,鹿児島県　鹿児島,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B20,鹿児島県　南薩,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B30,鹿児島県　北薩,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B40,鹿児島県　姶良・伊佐,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B50,鹿児島県　大隅,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,46B60,鹿児島県　奄美・熊毛,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,47000,沖縄県,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,47B01,沖縄県　人口10万以上市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,47B02,沖縄県　人口5～10万市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,47B03,沖縄県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,47B04,沖縄県　町村,1997000000,1997年
