value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
1821,023,23歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
925,023,23歳,002,総人口・男,00000,全国,1991000000,1991年,千人
896,023,23歳,003,総人口・女,00000,全国,1991000000,1991年,千人
103.3,023,23歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1795,023,23歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
913,023,23歳,006,日本人・男,00000,全国,1991000000,1991年,千人
883,023,23歳,007,日本人・女,00000,全国,1991000000,1991年,千人
103.4,023,23歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1819,024,24歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
922,024,24歳,002,総人口・男,00000,全国,1991000000,1991年,千人
897,024,24歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.9,024,24歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1793,024,24歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
910,024,24歳,006,日本人・男,00000,全国,1991000000,1991年,千人
884,024,24歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.9,024,24歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1418,025,25歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
718,025,25歳,002,総人口・男,00000,全国,1991000000,1991年,千人
700,025,25歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.5,025,25歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1393,025,25歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
705,025,25歳,006,日本人・男,00000,全国,1991000000,1991年,千人
688,025,25歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.4,025,25歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1756,026,26歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
889,026,26歳,002,総人口・男,00000,全国,1991000000,1991年,千人
868,026,26歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.4,026,26歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1728,026,26歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
874,026,26歳,006,日本人・男,00000,全国,1991000000,1991年,千人
854,026,26歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.4,026,26歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1644,027,27歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
832,027,27歳,002,総人口・男,00000,全国,1991000000,1991年,千人
812,027,27歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.4,027,27歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1617,027,27歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
818,027,27歳,006,日本人・男,00000,全国,1991000000,1991年,千人
799,027,27歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.3,027,27歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1607,028,28歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
814,028,28歳,002,総人口・男,00000,全国,1991000000,1991年,千人
794,028,28歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.5,028,28歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1580,028,28歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
799,028,28歳,006,日本人・男,00000,全国,1991000000,1991年,千人
781,028,28歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.3,028,28歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1558,029,29歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
788,029,29歳,002,総人口・男,00000,全国,1991000000,1991年,千人
770,029,29歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.4,029,29歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1533,029,29歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
775,029,29歳,006,日本人・男,00000,全国,1991000000,1991年,千人
758,029,29歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.2,029,29歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1538,030,30歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
778,030,30歳,002,総人口・男,00000,全国,1991000000,1991年,千人
760,030,30歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.4,030,30歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1515,030,30歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
766,030,30歳,006,日本人・男,00000,全国,1991000000,1991年,千人
749,030,30歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.3,030,30歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1554,031,31歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
785,031,31歳,002,総人口・男,00000,全国,1991000000,1991年,千人
769,031,31歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.2,031,31歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1532,031,31歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
774,031,31歳,006,日本人・男,00000,全国,1991000000,1991年,千人
758,031,31歳,007,日本人・女,00000,全国,1991000000,1991年,千人
