value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
141,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2023100000,2023年度,戸・件
346,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2023100000,2023年度,戸・件
146,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2023100000,2023年度,戸・件
121,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2023100000,2023年度,戸・件
59,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2023100000,2023年度,戸・件
113,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2023100000,2023年度,戸・件
138,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2023100000,2023年度,戸・件
317,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2023100000,2023年度,戸・件
174,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2023100000,2023年度,戸・件
174,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2023100000,2023年度,戸・件
108,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2023100000,2023年度,戸・件
20,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2023100000,2023年度,戸・件
217,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2023100000,2023年度,戸・件
88,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2023100000,2023年度,戸・件
487,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2023100000,2023年度,戸・件
12693,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2023100000,2023年度,戸・件
20,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2023100000,2023年度,戸・件
101,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2023100000,2023年度,戸・件
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2023100000,2023年度,戸・件
172,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2023100000,2023年度,戸・件
49,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2023100000,2023年度,戸・件
28,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2023100000,2023年度,戸・件
168,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2023100000,2023年度,戸・件
223,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2023100000,2023年度,戸・件
