value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
1648,2,勤労者世帯,001,平均,00104,家事用耐久財,00000,全国,1984000000,1984年
1582,2,勤労者世帯,001,平均,00104,家事用耐久財,00415,3大都市圏平均,1984000000,1984年
1193,2,勤労者世帯,001,平均,00105,冷暖房用器具,00000,全国,1984000000,1984年
1264,2,勤労者世帯,001,平均,00105,冷暖房用器具,00415,3大都市圏平均,1984000000,1984年
1107,2,勤労者世帯,001,平均,00106,一般家具,00000,全国,1984000000,1984年
1246,2,勤労者世帯,001,平均,00106,一般家具,00415,3大都市圏平均,1984000000,1984年
926,2,勤労者世帯,001,平均,00107,室内装備品,00000,全国,1984000000,1984年
938,2,勤労者世帯,001,平均,00107,室内装備品,00415,3大都市圏平均,1984000000,1984年
1464,2,勤労者世帯,001,平均,00108,寝具類,00000,全国,1984000000,1984年
1467,2,勤労者世帯,001,平均,00108,寝具類,00415,3大都市圏平均,1984000000,1984年
2138,2,勤労者世帯,001,平均,00109,家事雑貨,00000,全国,1984000000,1984年
2256,2,勤労者世帯,001,平均,00109,家事雑貨,00415,3大都市圏平均,1984000000,1984年
1892,2,勤労者世帯,001,平均,00110,家事用消耗品,00000,全国,1984000000,1984年
2000,2,勤労者世帯,001,平均,00110,家事用消耗品,00415,3大都市圏平均,1984000000,1984年
859,2,勤労者世帯,001,平均,00111,家事サービス,00000,全国,1984000000,1984年
712,2,勤労者世帯,001,平均,00111,家事サービス,00415,3大都市圏平均,1984000000,1984年
18006,2,勤労者世帯,001,平均,00112,被服及び履物,00000,全国,1984000000,1984年
18863,2,勤労者世帯,001,平均,00112,被服及び履物,00415,3大都市圏平均,1984000000,1984年
1444,2,勤労者世帯,001,平均,00113,和服,00000,全国,1984000000,1984年
1166,2,勤労者世帯,001,平均,00113,和服,00415,3大都市圏平均,1984000000,1984年
6598,2,勤労者世帯,001,平均,00114,洋服,00000,全国,1984000000,1984年
7144,2,勤労者世帯,001,平均,00114,洋服,00415,3大都市圏平均,1984000000,1984年
2414,2,勤労者世帯,001,平均,00115,男子洋服,00000,全国,1984000000,1984年
2686,2,勤労者世帯,001,平均,00115,男子洋服,00415,3大都市圏平均,1984000000,1984年
3213,2,勤労者世帯,001,平均,00116,婦人洋服,00000,全国,1984000000,1984年
3453,2,勤労者世帯,001,平均,00116,婦人洋服,00415,3大都市圏平均,1984000000,1984年
971,2,勤労者世帯,001,平均,00117,子供洋服,00000,全国,1984000000,1984年
