value,cat01,cat01_label,area,area_label,time,time_label
3.7,10900,前年（度、同期、同月）比（％）,00044,関東,30000202,2018年2月
3.8,10900,前年（度、同期、同月）比（％）,00044,関東,30000303,2018年3月
3.1,10900,前年（度、同期、同月）比（％）,00044,関東,30000404,2018年4月
2.6,10900,前年（度、同期、同月）比（％）,00044,関東,30000505,2018年5月
3.9,10900,前年（度、同期、同月）比（％）,00044,関東,30000606,2018年6月
3.8,10900,前年（度、同期、同月）比（％）,00044,関東,30000707,2018年7月
4.9,10900,前年（度、同期、同月）比（％）,00044,関東,30000808,2018年8月
5.8,10900,前年（度、同期、同月）比（％）,00044,関東,30000909,2018年9月
7,10900,前年（度、同期、同月）比（％）,00044,関東,30001010,2018年10月
3.8,10900,前年（度、同期、同月）比（％）,00044,関東,30001111,2018年11月
2.3,10900,前年（度、同期、同月）比（％）,00044,関東,30001212,2018年12月
2.8,10900,前年（度、同期、同月）比（％）,00058,中部,28000000,2016年
4,10900,前年（度、同期、同月）比（％）,00058,中部,29000000,2017年
-0.6,10900,前年（度、同期、同月）比（％）,00058,中部,30000000,2018年
3.9,10900,前年（度、同期、同月）比（％）,00058,中部,28010000,2016年度
2.2,10900,前年（度、同期、同月）比（％）,00058,中部,29010000,2017年度
-0.9,10900,前年（度、同期、同月）比（％）,00058,中部,30000103,2018年 1 ～ 3 月
-1.1,10900,前年（度、同期、同月）比（％）,00058,中部,30000406,2018年 4 ～ 6 月
0.8,10900,前年（度、同期、同月）比（％）,00058,中部,30000709,2018年 7 ～ 9 月
-1.1,10900,前年（度、同期、同月）比（％）,00058,中部,30001012,2018年10～12月
-0.9,10900,前年（度、同期、同月）比（％）,00058,中部,30000101,2018年1月
0.7,10900,前年（度、同期、同月）比（％）,00058,中部,30000202,2018年2月
-2.2,10900,前年（度、同期、同月）比（％）,00058,中部,30000303,2018年3月
-1.6,10900,前年（度、同期、同月）比（％）,00058,中部,30000404,2018年4月
-2,10900,前年（度、同期、同月）比（％）,00058,中部,30000505,2018年5月
0.3,10900,前年（度、同期、同月）比（％）,00058,中部,30000606,2018年6月
1.2,10900,前年（度、同期、同月）比（％）,00058,中部,30000707,2018年7月
1.2,10900,前年（度、同期、同月）比（％）,00058,中部,30000808,2018年8月
-0.1,10900,前年（度、同期、同月）比（％）,00058,中部,30000909,2018年9月
-1.2,10900,前年（度、同期、同月）比（％）,00058,中部,30001010,2018年10月
-2.9,10900,前年（度、同期、同月）比（％）,00058,中部,30001111,2018年11月
0.6,10900,前年（度、同期、同月）比（％）,00058,中部,30001212,2018年12月
-2.1,10900,前年（度、同期、同月）比（％）,00051,近畿,28000000,2016年
2.3,10900,前年（度、同期、同月）比（％）,00051,近畿,29000000,2017年
1.1,10900,前年（度、同期、同月）比（％）,00051,近畿,30000000,2018年
-2.4,10900,前年（度、同期、同月）比（％）,00051,近畿,28010000,2016年度
