value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
2690,004,従業者数　総数,013,022素材生産業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
684,004,従業者数　総数,013,022素材生産業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
421,004,従業者数　総数,013,022素材生産業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
599,004,従業者数　総数,014,023特用林産物生産業,000,総数,000,総数,00000,全国,2009000000,2009年
118,004,従業者数　総数,014,023特用林産物生産業,000,総数,003,有給役員,00000,全国,2009000000,2009年
408,004,従業者数　総数,014,023特用林産物生産業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
333,004,従業者数　総数,014,023特用林産物生産業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
75,004,従業者数　総数,014,023特用林産物生産業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
73,004,従業者数　総数,014,023特用林産物生産業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
593,004,従業者数　総数,014,023特用林産物生産業,001,民営,000,総数,00000,全国,2009000000,2009年
118,004,従業者数　総数,014,023特用林産物生産業,001,民営,003,有給役員,00000,全国,2009000000,2009年
404,004,従業者数　総数,014,023特用林産物生産業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
332,004,従業者数　総数,014,023特用林産物生産業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
72,004,従業者数　総数,014,023特用林産物生産業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
71,004,従業者数　総数,014,023特用林産物生産業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
10285,004,従業者数　総数,015,024林業サービス業,000,総数,000,総数,00000,全国,2009000000,2009年
1997,004,従業者数　総数,015,024林業サービス業,000,総数,003,有給役員,00000,全国,2009000000,2009年
7250,004,従業者数　総数,015,024林業サービス業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
5328,004,従業者数　総数,015,024林業サービス業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
1922,004,従業者数　総数,015,024林業サービス業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
1038,004,従業者数　総数,015,024林業サービス業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
10285,004,従業者数　総数,015,024林業サービス業,001,民営,000,総数,00000,全国,2009000000,2009年
1997,004,従業者数　総数,015,024林業サービス業,001,民営,003,有給役員,00000,全国,2009000000,2009年
7250,004,従業者数　総数,015,024林業サービス業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
5328,004,従業者数　総数,015,024林業サービス業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
1922,004,従業者数　総数,015,024林業サービス業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
1038,004,従業者数　総数,015,024林業サービス業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
744,004,従業者数　総数,016,029その他の林業,000,総数,000,総数,00000,全国,2009000000,2009年
118,004,従業者数　総数,016,029その他の林業,000,総数,003,有給役員,00000,全国,2009000000,2009年
529,004,従業者数　総数,016,029その他の林業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
162,004,従業者数　総数,016,029その他の林業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
367,004,従業者数　総数,016,029その他の林業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
97,004,従業者数　総数,016,029その他の林業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
744,004,従業者数　総数,016,029その他の林業,001,民営,000,総数,00000,全国,2009000000,2009年
118,004,従業者数　総数,016,029その他の林業,001,民営,003,有給役員,00000,全国,2009000000,2009年
529,004,従業者数　総数,016,029その他の林業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
162,004,従業者数　総数,016,029その他の林業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
367,004,従業者数　総数,016,029その他の林業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
97,004,従業者数　総数,016,029その他の林業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
48347,004,従業者数　総数,017,B漁業,000,総数,000,総数,00000,全国,2009000000,2009年
9253,004,従業者数　総数,017,B漁業,000,総数,003,有給役員,00000,全国,2009000000,2009年
34440,004,従業者数　総数,017,B漁業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
26884,004,従業者数　総数,017,B漁業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
7556,004,従業者数　総数,017,B漁業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
4654,004,従業者数　総数,017,B漁業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
47997,004,従業者数　総数,017,B漁業,001,民営,000,総数,00000,全国,2009000000,2009年
9253,004,従業者数　総数,017,B漁業,001,民営,003,有給役員,00000,全国,2009000000,2009年
34147,004,従業者数　総数,017,B漁業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
26692,004,従業者数　総数,017,B漁業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
7455,004,従業者数　総数,017,B漁業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
4597,004,従業者数　総数,017,B漁業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
30194,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,000,総数,00000,全国,2009000000,2009年
4527,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,003,有給役員,00000,全国,2009000000,2009年
23567,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
19718,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
3849,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
2100,004,従業者数　総数,018,03漁業（水産養殖業を除く）,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
30194,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,000,総数,00000,全国,2009000000,2009年
4527,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,003,有給役員,00000,全国,2009000000,2009年
23567,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
19718,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
3849,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
2100,004,従業者数　総数,018,03漁業（水産養殖業を除く）,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
168,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,000,総数,000,総数,00000,全国,2009000000,2009年
22,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,000,総数,003,有給役員,00000,全国,2009000000,2009年
146,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
127,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
19,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
168,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,001,民営,000,総数,00000,全国,2009000000,2009年
22,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,001,民営,003,有給役員,00000,全国,2009000000,2009年
146,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
127,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
19,004,従業者数　総数,019,030管理，補助的経済活動を行う事業所,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
29105,004,従業者数　総数,020,031海面漁業,000,総数,000,総数,00000,全国,2009000000,2009年
4047,004,従業者数　総数,020,031海面漁業,000,総数,003,有給役員,00000,全国,2009000000,2009年
23009,004,従業者数　総数,020,031海面漁業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
19298,004,従業者数　総数,020,031海面漁業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
3711,004,従業者数　総数,020,031海面漁業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
