value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
8713,002,事業所数（事業内容等不詳を含む）,001,総数,01630,十勝支庁,2009000000,2009年
1373,002,事業所数（事業内容等不詳を含む）,001,総数,01631,音更町,2009000000,2009年
309,002,事業所数（事業内容等不詳を含む）,001,総数,01632,士幌町,2009000000,2009年
353,002,事業所数（事業内容等不詳を含む）,001,総数,01633,上士幌町,2009000000,2009年
305,002,事業所数（事業内容等不詳を含む）,001,総数,01634,鹿追町,2009000000,2009年
395,002,事業所数（事業内容等不詳を含む）,001,総数,01635,新得町,2009000000,2009年
567,002,事業所数（事業内容等不詳を含む）,001,総数,01636,清水町,2009000000,2009年
812,002,事業所数（事業内容等不詳を含む）,001,総数,01637,芽室町,2009000000,2009年
271,002,事業所数（事業内容等不詳を含む）,001,総数,01638,中札内村,2009000000,2009年
133,002,事業所数（事業内容等不詳を含む）,001,総数,01639,更別村,2009000000,2009年
390,002,事業所数（事業内容等不詳を含む）,001,総数,01641,大樹町,2009000000,2009年
535,002,事業所数（事業内容等不詳を含む）,001,総数,01642,広尾町,2009000000,2009年
1145,002,事業所数（事業内容等不詳を含む）,001,総数,01643,幕別町,2009000000,2009年
428,002,事業所数（事業内容等不詳を含む）,001,総数,01644,池田町,2009000000,2009年
173,002,事業所数（事業内容等不詳を含む）,001,総数,01645,豊頃町,2009000000,2009年
518,002,事業所数（事業内容等不詳を含む）,001,総数,01646,本別町,2009000000,2009年
487,002,事業所数（事業内容等不詳を含む）,001,総数,01647,足寄町,2009000000,2009年
159,002,事業所数（事業内容等不詳を含む）,001,総数,01648,陸別町,2009000000,2009年
360,002,事業所数（事業内容等不詳を含む）,001,総数,01649,浦幌町,2009000000,2009年
3936,002,事業所数（事業内容等不詳を含む）,001,総数,01660,釧路支庁,2009000000,2009年
1126,002,事業所数（事業内容等不詳を含む）,001,総数,01661,釧路町,2009000000,2009年
675,002,事業所数（事業内容等不詳を含む）,001,総数,01662,厚岸町,2009000000,2009年
355,002,事業所数（事業内容等不詳を含む）,001,総数,01663,浜中町,2009000000,2009年
497,002,事業所数（事業内容等不詳を含む）,001,総数,01664,標茶町,2009000000,2009年
615,002,事業所数（事業内容等不詳を含む）,001,総数,01665,弟子屈町,2009000000,2009年
132,002,事業所数（事業内容等不詳を含む）,001,総数,01667,鶴居村,2009000000,2009年
536,002,事業所数（事業内容等不詳を含む）,001,総数,01668,白糠町,2009000000,2009年
3252,002,事業所数（事業内容等不詳を含む）,001,総数,01690,根室支庁,2009000000,2009年
856,002,事業所数（事業内容等不詳を含む）,001,総数,01691,別海町,2009000000,2009年
1592,002,事業所数（事業内容等不詳を含む）,001,総数,01692,中標津町,2009000000,2009年
374,002,事業所数（事業内容等不詳を含む）,001,総数,01693,標津町,2009000000,2009年
430,002,事業所数（事業内容等不詳を含む）,001,総数,01694,羅臼町,2009000000,2009年
70021,002,事業所数（事業内容等不詳を含む）,001,総数,02000,青森県,2009000000,2009年
15524,002,事業所数（事業内容等不詳を含む）,001,総数,02201,青森市,2009000000,2009年
9644,002,事業所数（事業内容等不詳を含む）,001,総数,02202,弘前市,2009000000,2009年
12829,002,事業所数（事業内容等不詳を含む）,001,総数,02203,八戸市,2009000000,2009年
1687,002,事業所数（事業内容等不詳を含む）,001,総数,02204,黒石市,2009000000,2009年
3513,002,事業所数（事業内容等不詳を含む）,001,総数,02205,五所川原市,2009000000,2009年
3849,002,事業所数（事業内容等不詳を含む）,001,総数,02206,十和田市,2009000000,2009年
2115,002,事業所数（事業内容等不詳を含む）,001,総数,02207,三沢市,2009000000,2009年
3229,002,事業所数（事業内容等不詳を含む）,001,総数,02208,むつ市,2009000000,2009年
1463,002,事業所数（事業内容等不詳を含む）,001,総数,02209,つがる市,2009000000,2009年
1376,002,事業所数（事業内容等不詳を含む）,001,総数,02210,平川市,2009000000,2009年
1266,002,事業所数（事業内容等不詳を含む）,001,総数,02300,東津軽郡,2009000000,2009年
547,002,事業所数（事業内容等不詳を含む）,001,総数,02301,平内町,2009000000,2009年
208,002,事業所数（事業内容等不詳を含む）,001,総数,02303,今別町,2009000000,2009年
109,002,事業所数（事業内容等不詳を含む）,001,総数,02304,蓬田村,2009000000,2009年
402,002,事業所数（事業内容等不詳を含む）,001,総数,02307,外ヶ浜町,2009000000,2009年
1185,002,事業所数（事業内容等不詳を含む）,001,総数,02320,西津軽郡,2009000000,2009年
618,002,事業所数（事業内容等不詳を含む）,001,総数,02321,鰺ヶ沢町,2009000000,2009年
567,002,事業所数（事業内容等不詳を含む）,001,総数,02323,深浦町,2009000000,2009年
101,002,事業所数（事業内容等不詳を含む）,001,総数,02340,中津軽郡,2009000000,2009年
101,002,事業所数（事業内容等不詳を含む）,001,総数,02343,西目屋村,2009000000,2009年
1384,002,事業所数（事業内容等不詳を含む）,001,総数,02360,南津軽郡,2009000000,2009年
610,002,事業所数（事業内容等不詳を含む）,001,総数,02361,藤崎町,2009000000,2009年
487,002,事業所数（事業内容等不詳を含む）,001,総数,02362,大鰐町,2009000000,2009年
