value,tab,tab_label,cat01,cat01_label,time,time_label
896,831,事業所数（事業内容等不詳を含む）,01607,浦河町,2012000000,2012年
270,831,事業所数（事業内容等不詳を含む）,01608,様似町,2012000000,2012年
266,831,事業所数（事業内容等不詳を含む）,01609,えりも町,2012000000,2012年
1297,831,事業所数（事業内容等不詳を含む）,01610,新ひだか町,2012000000,2012年
7618,831,事業所数（事業内容等不詳を含む）,01630,十勝総合振興局,2012000000,2012年
1279,831,事業所数（事業内容等不詳を含む）,01631,音更町,2012000000,2012年
269,831,事業所数（事業内容等不詳を含む）,01632,士幌町,2012000000,2012年
299,831,事業所数（事業内容等不詳を含む）,01633,上士幌町,2012000000,2012年
257,831,事業所数（事業内容等不詳を含む）,01634,鹿追町,2012000000,2012年
335,831,事業所数（事業内容等不詳を含む）,01635,新得町,2012000000,2012年
495,831,事業所数（事業内容等不詳を含む）,01636,清水町,2012000000,2012年
757,831,事業所数（事業内容等不詳を含む）,01637,芽室町,2012000000,2012年
233,831,事業所数（事業内容等不詳を含む）,01638,中札内村,2012000000,2012年
111,831,事業所数（事業内容等不詳を含む）,01639,更別村,2012000000,2012年
332,831,事業所数（事業内容等不詳を含む）,01641,大樹町,2012000000,2012年
462,831,事業所数（事業内容等不詳を含む）,01642,広尾町,2012000000,2012年
988,831,事業所数（事業内容等不詳を含む）,01643,幕別町,2012000000,2012年
373,831,事業所数（事業内容等不詳を含む）,01644,池田町,2012000000,2012年
159,831,事業所数（事業内容等不詳を含む）,01645,豊頃町,2012000000,2012年
437,831,事業所数（事業内容等不詳を含む）,01646,本別町,2012000000,2012年
411,831,事業所数（事業内容等不詳を含む）,01647,足寄町,2012000000,2012年
131,831,事業所数（事業内容等不詳を含む）,01648,陸別町,2012000000,2012年
290,831,事業所数（事業内容等不詳を含む）,01649,浦幌町,2012000000,2012年
3316,831,事業所数（事業内容等不詳を含む）,01660,釧路総合振興局,2012000000,2012年
1029,831,事業所数（事業内容等不詳を含む）,01661,釧路町,2012000000,2012年
559,831,事業所数（事業内容等不詳を含む）,01662,厚岸町,2012000000,2012年
270,831,事業所数（事業内容等不詳を含む）,01663,浜中町,2012000000,2012年
409,831,事業所数（事業内容等不詳を含む）,01664,標茶町,2012000000,2012年
494,831,事業所数（事業内容等不詳を含む）,01665,弟子屈町,2012000000,2012年
109,831,事業所数（事業内容等不詳を含む）,01667,鶴居村,2012000000,2012年
446,831,事業所数（事業内容等不詳を含む）,01668,白糠町,2012000000,2012年
2834,831,事業所数（事業内容等不詳を含む）,01690,根室振興局,2012000000,2012年
726,831,事業所数（事業内容等不詳を含む）,01691,別海町,2012000000,2012年
