value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
296,811,事業所数,160,1万m2以上3万m2未満,03730,15印刷・同関連業,2016000000,2016年
585,811,事業所数,160,1万m2以上3万m2未満,03880,16化学工業,2016000000,2016年
23,811,事業所数,160,1万m2以上3万m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
951,811,事業所数,160,1万m2以上3万m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
148,811,事業所数,160,1万m2以上3万m2未満,04860,19ゴム製品製造業,2016000000,2016年
13,811,事業所数,160,1万m2以上3万m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
387,811,事業所数,160,1万m2以上3万m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
455,811,事業所数,160,1万m2以上3万m2未満,05870,22鉄鋼業,2016000000,2016年
230,811,事業所数,160,1万m2以上3万m2未満,06210,23非鉄金属製造業,2016000000,2016年
1167,811,事業所数,160,1万m2以上3万m2未満,06490,24金属製品製造業,2016000000,2016年
463,811,事業所数,160,1万m2以上3万m2未満,06950,25はん用機械器具製造業,2016000000,2016年
967,811,事業所数,160,1万m2以上3万m2未満,07220,26生産用機械器具製造業,2016000000,2016年
257,811,事業所数,160,1万m2以上3万m2未満,07600,27業務用機械器具製造業,2016000000,2016年
405,811,事業所数,160,1万m2以上3万m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
533,811,事業所数,160,1万m2以上3万m2未満,08180,29電気機械器具製造業,2016000000,2016年
123,811,事業所数,160,1万m2以上3万m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
988,811,事業所数,160,1万m2以上3万m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
177,811,事業所数,160,1万m2以上3万m2未満,09010,32その他の製造業,2016000000,2016年
6344,811,事業所数,170,3万m2以上10万m2未満,01490,E製造業,2016000000,2016年
675,811,事業所数,170,3万m2以上10万m2未満,01500,09食料品製造業,2016000000,2016年
181,811,事業所数,170,3万m2以上10万m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
199,811,事業所数,170,3万m2以上10万m2未満,02280,11繊維工業,2016000000,2016年
180,811,事業所数,170,3万m2以上10万m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
85,811,事業所数,170,3万m2以上10万m2未満,03310,13家具・装備品製造業,2016000000,2016年
243,811,事業所数,170,3万m2以上10万m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
79,811,事業所数,170,3万m2以上10万m2未満,03730,15印刷・同関連業,2016000000,2016年
609,811,事業所数,170,3万m2以上10万m2未満,03880,16化学工業,2016000000,2016年
14,811,事業所数,170,3万m2以上10万m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
429,811,事業所数,170,3万m2以上10万m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
100,811,事業所数,170,3万m2以上10万m2未満,04860,19ゴム製品製造業,2016000000,2016年
6,811,事業所数,170,3万m2以上10万m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
427,811,事業所数,170,3万m2以上10万m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
252,811,事業所数,170,3万m2以上10万m2未満,05870,22鉄鋼業,2016000000,2016年
170,811,事業所数,170,3万m2以上10万m2未満,06210,23非鉄金属製造業,2016000000,2016年
506,811,事業所数,170,3万m2以上10万m2未満,06490,24金属製品製造業,2016000000,2016年
243,811,事業所数,170,3万m2以上10万m2未満,06950,25はん用機械器具製造業,2016000000,2016年
409,811,事業所数,170,3万m2以上10万m2未満,07220,26生産用機械器具製造業,2016000000,2016年
131,811,事業所数,170,3万m2以上10万m2未満,07600,27業務用機械器具製造業,2016000000,2016年
290,811,事業所数,170,3万m2以上10万m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
260,811,事業所数,170,3万m2以上10万m2未満,08180,29電気機械器具製造業,2016000000,2016年
96,811,事業所数,170,3万m2以上10万m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
668,811,事業所数,170,3万m2以上10万m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
92,811,事業所数,170,3万m2以上10万m2未満,09010,32その他の製造業,2016000000,2016年
2270,811,事業所数,180,10万m2以上,01490,E製造業,2016000000,2016年
99,811,事業所数,180,10万m2以上,01500,09食料品製造業,2016000000,2016年
69,811,事業所数,180,10万m2以上,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
49,811,事業所数,180,10万m2以上,02280,11繊維工業,2016000000,2016年
36,811,事業所数,180,10万m2以上,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
20,811,事業所数,180,10万m2以上,03310,13家具・装備品製造業,2016000000,2016年
79,811,事業所数,180,10万m2以上,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
14,811,事業所数,180,10万m2以上,03730,15印刷・同関連業,2016000000,2016年
328,811,事業所数,180,10万m2以上,03880,16化学工業,2016000000,2016年
34,811,事業所数,180,10万m2以上,04370,17石油製品・石炭製品製造業,2016000000,2016年
93,811,事業所数,180,10万m2以上,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
38,811,事業所数,180,10万m2以上,04860,19ゴム製品製造業,2016000000,2016年
1,811,事業所数,180,10万m2以上,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
181,811,事業所数,180,10万m2以上,05300,21窯業・土石製品製造業,2016000000,2016年
166,811,事業所数,180,10万m2以上,05870,22鉄鋼業,2016000000,2016年
110,811,事業所数,180,10万m2以上,06210,23非鉄金属製造業,2016000000,2016年
96,811,事業所数,180,10万m2以上,06490,24金属製品製造業,2016000000,2016年
98,811,事業所数,180,10万m2以上,06950,25はん用機械器具製造業,2016000000,2016年
115,811,事業所数,180,10万m2以上,07220,26生産用機械器具製造業,2016000000,2016年
41,811,事業所数,180,10万m2以上,07600,27業務用機械器具製造業,2016000000,2016年
117,811,事業所数,180,10万m2以上,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
112,811,事業所数,180,10万m2以上,08180,29電気機械器具製造業,2016000000,2016年
37,811,事業所数,180,10万m2以上,08530,30情報通信機械器具製造業,2016000000,2016年
317,811,事業所数,180,10万m2以上,08750,31輸送用機械器具製造業,2016000000,2016年
20,811,事業所数,180,10万m2以上,09010,32その他の製造業,2016000000,2016年
