value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
644602,100,売上（収入）金額,130,1千万円超～3千万円,120,製造業,2014100000,2014年度,百万円
4749,100,売上（収入）金額,130,1千万円超～3千万円,130,情報通信業,2016100000,2016年度,百万円
4724,100,売上（収入）金額,130,1千万円超～3千万円,130,情報通信業,2015100000,2015年度,百万円
10078,100,売上（収入）金額,130,1千万円超～3千万円,130,情報通信業,2014100000,2014年度,百万円
12597,100,売上（収入）金額,130,1千万円超～3千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
20703,100,売上（収入）金額,130,1千万円超～3千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
19460,100,売上（収入）金額,130,1千万円超～3千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
343012,100,売上（収入）金額,130,1千万円超～3千万円,150,卸売業,2016100000,2016年度,百万円
304045,100,売上（収入）金額,130,1千万円超～3千万円,150,卸売業,2015100000,2015年度,百万円
309810,100,売上（収入）金額,130,1千万円超～3千万円,150,卸売業,2014100000,2014年度,百万円
2177048,100,売上（収入）金額,130,1千万円超～3千万円,160,小売業,2016100000,2016年度,百万円
1540559,100,売上（収入）金額,130,1千万円超～3千万円,160,小売業,2015100000,2015年度,百万円
1823035,100,売上（収入）金額,130,1千万円超～3千万円,160,小売業,2014100000,2014年度,百万円
455760,100,売上（収入）金額,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
499888,100,売上（収入）金額,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
502645,100,売上（収入）金額,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
543870,100,売上（収入）金額,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
580098,100,売上（収入）金額,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
540789,100,売上（収入）金額,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
1721843,100,売上（収入）金額,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1288528,100,売上（収入）金額,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
1575699,100,売上（収入）金額,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
463599,100,売上（収入）金額,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
444082,100,売上（収入）金額,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
