value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
1698968,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,130,情報通信業,2016100000,2016年度,百万円
1860428,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,130,情報通信業,2015100000,2015年度,百万円
2072010,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,130,情報通信業,2014100000,2014年度,百万円
4713581,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,140,運輸業，郵便業,2016100000,2016年度,百万円
4866422,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,140,運輸業，郵便業,2015100000,2015年度,百万円
4846875,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,140,運輸業，郵便業,2014100000,2014年度,百万円
14213432,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,150,卸売業,2016100000,2016年度,百万円
15168265,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,150,卸売業,2015100000,2015年度,百万円
14189419,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,150,卸売業,2014100000,2014年度,百万円
18475922,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,160,小売業,2016100000,2016年度,百万円
