value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
4731,000,男女計,001,　有業者,211,55～59歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3113,000,男女計,001,　有業者,211,55～59歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1381,000,男女計,001,　有業者,211,55～59歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
231,000,男女計,001,　有業者,211,55～59歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
7,000,男女計,001,　有業者,211,55～59歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
339,000,男女計,001,　有業者,211,55～59歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
3116,000,男女計,001,　有業者,212,60～64歳,000,総数,00000,全国,1987000000,1987年,千人
2884,000,男女計,001,　有業者,212,60～64歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1805,000,男女計,001,　有業者,212,60～64歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
794,000,男女計,001,　有業者,212,60～64歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
282,000,男女計,001,　有業者,212,60～64歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
3,000,男女計,001,　有業者,212,60～64歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
232,000,男女計,001,　有業者,212,60～64歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
1719,000,男女計,001,　有業者,213,65～69歳,000,総数,00000,全国,1987000000,1987年,千人
1565,000,男女計,001,　有業者,213,65～69歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
944,000,男女計,001,　有業者,213,65～69歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
373,000,男女計,001,　有業者,213,65～69歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
245,000,男女計,001,　有業者,213,65～69歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
3,000,男女計,001,　有業者,213,65～69歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
155,000,男女計,001,　有業者,213,65～69歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
1006,000,男女計,001,　有業者,214,70～74歳,000,総数,00000,全国,1987000000,1987年,千人
910,000,男女計,001,　有業者,214,70～74歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
571,000,男女計,001,　有業者,214,70～74歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
