value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
59616,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
43947,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
15669,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
32747,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,195,教員数（兼務者）,00000,全国,2006000000,2006年
12496,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,200,職員数（本務者）,00000,全国,2006000000,2006年
4578,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,010,学校数-計,00000,全国,2006000000,2006年
4500,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,020,学校数-本校,00000,全国,2006000000,2006年
78,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,030,学校数-分校,00000,全国,2006000000,2006年
62005,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,040,学級数,00000,全国,2006000000,2006年
3385698,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,080,児童生徒数-計,00000,全国,2006000000,2006年
1706380,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,090,児童生徒数-男,00000,全国,2006000000,2006年
1679318,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,100,児童生徒数-女,00000,全国,2006000000,2006年
235092,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,170,教員数（本務者）-計,00000,全国,2006000000,2006年
168883,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,180,教員数（本務者）-男,00000,全国,2006000000,2006年
66209,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,190,教員数（本務者）-女,00000,全国,2006000000,2006年
62680,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,195,教員数（兼務者）,00000,全国,2006000000,2006年
50498,0000000800,学校数・学級数・児童生徒数・教職員数,07510,高等学校-全日制,200,職員数（本務者）,00000,全国,2006000000,2006年
183,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,010,学校数-計,00000,全国,2006000000,2006年
149,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,020,学校数-本校,00000,全国,2006000000,2006年
34,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,030,学校数-分校,00000,全国,2006000000,2006年
5027,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,040,学級数,00000,全国,2006000000,2006年
108815,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,080,児童生徒数-計,00000,全国,2006000000,2006年
62835,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,090,児童生徒数-男,00000,全国,2006000000,2006年
45980,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,100,児童生徒数-女,00000,全国,2006000000,2006年
12712,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,170,教員数（本務者）-計,00000,全国,2006000000,2006年
9830,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,180,教員数（本務者）-男,00000,全国,2006000000,2006年
2882,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,190,教員数（本務者）-女,00000,全国,2006000000,2006年
5088,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,195,教員数（兼務者）,00000,全国,2006000000,2006年
2682,0000000800,学校数・学級数・児童生徒数・教職員数,07520,高等学校-定時制,200,職員数（本務者）,00000,全国,2006000000,2006年
624,0000000800,学校数・学級数・児童生徒数・教職員数,07530,高等学校-全・定併置,010,学校数-計,00000,全国,2006000000,2006年
623,0000000800,学校数・学級数・児童生徒数・教職員数,07530,高等学校-全・定併置,020,学校数-本校,00000,全国,2006000000,2006年
1,0000000800,学校数・学級数・児童生徒数・教職員数,07530,高等学校-全・定併置,030,学校数-分校,00000,全国,2006000000,2006年
27,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,010,学校数-計,00000,全国,2006000000,2006年
27,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,030,学校数-分校,00000,全国,2006000000,2006年
252,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,040,学級数,00000,全国,2006000000,2006年
11648,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,080,児童生徒数-計,00000,全国,2006000000,2006年
6079,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,090,児童生徒数-男,00000,全国,2006000000,2006年
5569,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,100,児童生徒数-女,00000,全国,2006000000,2006年
818,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,170,教員数（本務者）-計,00000,全国,2006000000,2006年
557,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,180,教員数（本務者）-男,00000,全国,2006000000,2006年
261,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,190,教員数（本務者）-女,00000,全国,2006000000,2006年
519,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,195,教員数（兼務者）,00000,全国,2006000000,2006年
124,0000000800,学校数・学級数・児童生徒数・教職員数,07590,中等教育学校-計,200,職員数（本務者）,00000,全国,2006000000,2006年
2,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,010,学校数-計,00000,全国,2006000000,2006年
2,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,030,学校数-分校,00000,全国,2006000000,2006年
18,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,040,学級数,00000,全国,2006000000,2006年
1437,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,080,児童生徒数-計,00000,全国,2006000000,2006年
716,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,090,児童生徒数-男,00000,全国,2006000000,2006年
721,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,100,児童生徒数-女,00000,全国,2006000000,2006年
87,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
56,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
