value,cat01,cat01_label,area,area_label
221,0000004200,公立【市（区）立】（計）,06000,山形県
361,0000004200,公立【市（区）立】（計）,07000,福島県
508,0000004200,公立【市（区）立】（計）,08000,茨城県
313,0000004200,公立【市（区）立】（計）,09000,栃木県
248,0000004200,公立【市（区）立】（計）,10000,群馬県
699,0000004200,公立【市（区）立】（計）,11000,埼玉県
780,0000004200,公立【市（区）立】（計）,12000,千葉県
1297,0000004200,公立【市（区）立】（計）,13000,東京都
816,0000004200,公立【市（区）立】（計）,14000,神奈川県
518,0000004200,公立【市（区）立】（計）,15000,新潟県
183,0000004200,公立【市（区）立】（計）,16000,富山県
181,0000004200,公立【市（区）立】（計）,17000,石川県
162,0000004200,公立【市（区）立】（計）,18000,福井県
167,0000004200,公立【市（区）立】（計）,19000,山梨県
269,0000004200,公立【市（区）立】（計）,20000,長野県
309,0000004200,公立【市（区）立】（計）,21000,岐阜県
477,0000004200,公立【市（区）立】（計）,22000,静岡県
867,0000004200,公立【市（区）立】（計）,23000,愛知県
360,0000004200,公立【市（区）立】（計）,24000,三重県
201,0000004200,公立【市（区）立】（計）,25000,滋賀県
388,0000004200,公立【市（区）立】（計）,26000,京都府
992,0000004200,公立【市（区）立】（計）,27000,大阪府
736,0000004200,公立【市（区）立】（計）,28000,兵庫県
160,0000004200,公立【市（区）立】（計）,29000,奈良県
170,0000004200,公立【市（区）立】（計）,30000,和歌山県
94,0000004200,公立【市（区）立】（計）,31000,鳥取県
195,0000004200,公立【市（区）立】（計）,32000,島根県
