value,tab,tab_label,area,area_label,time,time_label,unit
45755,300,受注高,00043,東北地方,2025001111,2025年11月,百万円
77073,300,受注高,00043,東北地方,2025001010,2025年10月,百万円
188097,300,受注高,00043,東北地方,2025000909,2025年9月,百万円
28710,300,受注高,00043,東北地方,2025000808,2025年8月,百万円
75338,300,受注高,00043,東北地方,2025000707,2025年7月,百万円
92257,300,受注高,00043,東北地方,2025000606,2025年6月,百万円
60789,300,受注高,00043,東北地方,2025000505,2025年5月,百万円
43283,300,受注高,00043,東北地方,2025000404,2025年4月,百万円
177030,300,受注高,00043,東北地方,2025000303,2025年3月,百万円
44962,300,受注高,00043,東北地方,2025000202,2025年2月,百万円
69792,300,受注高,00043,東北地方,2025000101,2025年1月,百万円
203244,300,受注高,00043,東北地方,2024001212,2024年12月,百万円
51517,300,受注高,00043,東北地方,2024001111,2024年11月,百万円
31893,300,受注高,00043,東北地方,2024001010,2024年10月,百万円
102899,300,受注高,00043,東北地方,2024000909,2024年9月,百万円
76672,300,受注高,00043,東北地方,2024000808,2024年8月,百万円
84530,300,受注高,00043,東北地方,2024000707,2024年7月,百万円
63762,300,受注高,00043,東北地方,2024000606,2024年6月,百万円
95285,300,受注高,00043,東北地方,2024000505,2024年5月,百万円
36029,300,受注高,00043,東北地方,2024000404,2024年4月,百万円
119710,300,受注高,00043,東北地方,2024000303,2024年3月,百万円
64660,300,受注高,00043,東北地方,2024000202,2024年2月,百万円
61051,300,受注高,00043,東北地方,2024000101,2024年1月,百万円
79680,300,受注高,00043,東北地方,2023001212,2023年12月,百万円
51405,300,受注高,00043,東北地方,2023001111,2023年11月,百万円
48817,300,受注高,00043,東北地方,2023001010,2023年10月,百万円
93438,300,受注高,00043,東北地方,2023000909,2023年9月,百万円
59028,300,受注高,00043,東北地方,2023000808,2023年8月,百万円
48505,300,受注高,00043,東北地方,2023000707,2023年7月,百万円
111928,300,受注高,00043,東北地方,2023000606,2023年6月,百万円
67340,300,受注高,00043,東北地方,2023000505,2023年5月,百万円
70609,300,受注高,00043,東北地方,2023000404,2023年4月,百万円
187944,300,受注高,00043,東北地方,2023000303,2023年3月,百万円
79612,300,受注高,00043,東北地方,2023000202,2023年2月,百万円
62646,300,受注高,00043,東北地方,2023000101,2023年1月,百万円
77309,300,受注高,00043,東北地方,2022001212,2022年12月,百万円
50925,300,受注高,00043,東北地方,2022001111,2022年11月,百万円
50250,300,受注高,00043,東北地方,2022001010,2022年10月,百万円
70078,300,受注高,00043,東北地方,2022000909,2022年9月,百万円
156167,300,受注高,00043,東北地方,2022000808,2022年8月,百万円
62687,300,受注高,00043,東北地方,2022000707,2022年7月,百万円
127773,300,受注高,00043,東北地方,2022000606,2022年6月,百万円
62955,300,受注高,00043,東北地方,2022000505,2022年5月,百万円
38939,300,受注高,00043,東北地方,2022000404,2022年4月,百万円
281194,300,受注高,00043,東北地方,2022000303,2022年3月,百万円
104339,300,受注高,00043,東北地方,2022000202,2022年2月,百万円
77333,300,受注高,00043,東北地方,2022000101,2022年1月,百万円
86621,300,受注高,00043,東北地方,2021001212,2021年12月,百万円
69561,300,受注高,00043,東北地方,2021001111,2021年11月,百万円
60492,300,受注高,00043,東北地方,2021001010,2021年10月,百万円
49945,300,受注高,00043,東北地方,2021000909,2021年9月,百万円
40442,300,受注高,00043,東北地方,2021000808,2021年8月,百万円
46704,300,受注高,00043,東北地方,2021000707,2021年7月,百万円
112189,300,受注高,00043,東北地方,2021000606,2021年6月,百万円
50419,300,受注高,00043,東北地方,2021000505,2021年5月,百万円
65845,300,受注高,00043,東北地方,2021000404,2021年4月,百万円
264159,300,受注高,00043,東北地方,2021000303,2021年3月,百万円
86861,300,受注高,00043,東北地方,2021000202,2021年2月,百万円
252199,300,受注高,00043,東北地方,2021000101,2021年1月,百万円
84058,300,受注高,00043,東北地方,2020001212,2020年12月,百万円
