value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,unit
18.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,40,　腎炎，ネフローゼ及び腎不全（再掲）,千人
2.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,41,　乳房及び女性生殖器の疾患（再掲）,千人
52.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,42,１１　妊娠，分娩及び産じょくの合併症,千人
2.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,43,　妊娠高血圧症候群（再掲）,千人
27.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,44,　正常分娩（再掲）,千人
3.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,45,１２　皮膚及び皮下組織の疾患,千人
63,22,推計患者数の年次推移,1,昭和５４年,2,入院,46,１３　筋骨格系及び結合組織の疾患,千人
11,22,推計患者数の年次推移,1,昭和５４年,2,入院,47,　関節リウマチ（脊椎を除く。）（再掲）,千人
2.8,22,推計患者数の年次推移,1,昭和５４年,2,入院,48,　腰痛症（再掲）,千人
27.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,49,　その他の脊柱疾患（再掲）,千人
8.8,22,推計患者数の年次推移,1,昭和５４年,2,入院,50,１４　先天異常,千人
7.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,51,１５　周産期に発生した主要病態,千人
8.7,22,推計患者数の年次推移,1,昭和５４年,2,入院,52,１６　症状，徴候及び診断名不明確の状態,千人
96.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,53,１７　損傷及び中毒,千人
55.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,54,　骨折（再掲）,千人
29,22,推計患者数の年次推移,1,昭和５４年,2,入院,55,　Ｅ分類自動車交通事故（再掲）,千人
1.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,56,Ｖ分類　健康状態に影響を及ぼす要因及び保健サービス受療の理由に関する補助分類,千人
-,22,推計患者数の年次推移,1,昭和５４年,2,入院,57,　歯の補綴（再掲）,千人
1.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,58,　分娩前看護及び分娩後観察（再掲）,千人
7098.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,1,総数,千人
316,22,推計患者数の年次推移,1,昭和５４年,3,外来,2,１　感染症及び寄生虫症,千人
79,22,推計患者数の年次推移,1,昭和５４年,3,外来,3,　腸管感染症（再掲）,千人
21.6,22,推計患者数の年次推移,1,昭和５４年,3,外来,4,　結核（再掲）,千人
37.3,22,推計患者数の年次推移,1,昭和５４年,3,外来,5,　発疹を伴うウイルス疾患（再掲）,千人
60.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,6,　真菌症（再掲）,千人
63.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,7,２　新生物,千人
11.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,8,　胃の悪性新生物（再掲）,千人
23.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,9,　その他の悪性新生物（再掲）,千人
134.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,10,３　内分泌，栄養及び代謝疾患並びに免疫障害,千人
9.6,22,推計患者数の年次推移,1,昭和５４年,3,外来,11,　甲状腺の疾患（再掲）,千人
89.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,12,　糖尿病（再掲）,千人
39.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,13,４　血液及び造血器の疾患,千人
33.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,14,　貧血（再掲）,千人
47.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,15,５　精神障害,千人
10.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,16,　統合失調症（再掲）,千人
16.6,22,推計患者数の年次推移,1,昭和５４年,3,外来,17,　神経症（再掲）,千人
793.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,18,６　神経系及び感覚器の疾患,千人
447.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,19,　視器の疾患（再掲）,千人
248.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,20,　聴器の疾患（再掲）,千人
910.6,22,推計患者数の年次推移,1,昭和５４年,3,外来,21,７　循環系の疾患,千人
4.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,22,　リウマチ熱及びリウマチ性心疾患（再掲）,千人
514,22,推計患者数の年次推移,1,昭和５４年,3,外来,23,　高血圧性疾患（再掲）,千人
87.3,22,推計患者数の年次推移,1,昭和５４年,3,外来,24,　虚血性心疾患（再掲）,千人
61.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,25,　その他の心疾患（再掲）,千人
123.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,26,　脳血管疾患（再掲）,千人
1152.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,27,８　呼吸系の疾患,千人
586,22,推計患者数の年次推移,1,昭和５４年,3,外来,28,　急性上気道感染（再掲）,千人
158.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,29,　急性及び詳細不明の気管支炎（再掲）,千人
6.9,22,推計患者数の年次推移,1,昭和５４年,3,外来,30,　肺炎（再掲）,千人
16.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,31,　慢性気管支炎（再掲）,千人
89.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,32,　喘息（再掲）,千人
1735.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,33,９　消化系の疾患,千人
1151.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,34,　歯及び歯の支持組織の疾患（再掲）,千人
138.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,35,　胃及び十二指腸潰瘍（再掲）,千人
202.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,36,　胃炎及び十二指腸炎（再掲）,千人
5.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,37,　虫垂炎（再掲）,千人
104.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,38,　肝の疾患（再掲）,千人
204.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,39,１０　泌尿生殖系の疾患,千人
33.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,40,　腎炎，ネフローゼ及び腎不全（再掲）,千人
78.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,41,　乳房及び女性生殖器の疾患（再掲）,千人
36.8,22,推計患者数の年次推移,1,昭和５４年,3,外来,42,１１　妊娠，分娩及び産じょくの合併症,千人
6.5,22,推計患者数の年次推移,1,昭和５４年,3,外来,43,　妊娠高血圧症候群（再掲）,千人
0.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,44,　正常分娩（再掲）,千人
314.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,45,１２　皮膚及び皮下組織の疾患,千人
714.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,46,１３　筋骨格系及び結合組織の疾患,千人
58,22,推計患者数の年次推移,1,昭和５４年,3,外来,47,　関節リウマチ（脊椎を除く。）（再掲）,千人
76.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,48,　腰痛症（再掲）,千人
299.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,49,　その他の脊柱疾患（再掲）,千人
20.2,22,推計患者数の年次推移,1,昭和５４年,3,外来,50,１４　先天異常,千人
1.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,51,１５　周産期に発生した主要病態,千人
46.9,22,推計患者数の年次推移,1,昭和５４年,3,外来,52,１６　症状，徴候及び診断名不明確の状態,千人
371.3,22,推計患者数の年次推移,1,昭和５４年,3,外来,53,１７　損傷及び中毒,千人
67.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,54,　骨折（再掲）,千人
56.1,22,推計患者数の年次推移,1,昭和５４年,3,外来,55,　Ｅ分類自動車交通事故（再掲）,千人
195,22,推計患者数の年次推移,1,昭和５４年,3,外来,56,Ｖ分類　健康状態に影響を及ぼす要因及び保健サービス受療の理由に関する補助分類,千人
129.4,22,推計患者数の年次推移,1,昭和５４年,3,外来,57,　歯の補綴（再掲）,千人
65.7,22,推計患者数の年次推移,1,昭和５４年,3,外来,58,　分娩前看護及び分娩後観察（再掲）,千人
8015.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,1,総数,千人
314.4,22,推計患者数の年次推移,2,昭和５５年,1,総数,2,１　感染症及び寄生虫症,千人
67.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,3,　腸管感染症（再掲）,千人
65.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,4,　結核（再掲）,千人
39.7,22,推計患者数の年次推移,2,昭和５５年,1,総数,5,　発疹を伴うウイルス疾患（再掲）,千人
62.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,6,　真菌症（再掲）,千人
152.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,7,２　新生物,千人
31.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,8,　胃の悪性新生物（再掲）,千人
73.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,9,　その他の悪性新生物（再掲）,千人
175.5,22,推計患者数の年次推移,2,昭和５５年,1,総数,10,３　内分泌，栄養及び代謝疾患並びに免疫障害,千人
17.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,11,　甲状腺の疾患（再掲）,千人
120.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,12,　糖尿病（再掲）,千人
40.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,13,４　血液及び造血器の疾患,千人
32.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,14,　貧血（再掲）,千人
339.1,22,推計患者数の年次推移,2,昭和５５年,1,総数,15,５　精神障害,千人
201.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,16,　統合失調症（再掲）,千人
37.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,17,　神経症（再掲）,千人
724.4,22,推計患者数の年次推移,2,昭和５５年,1,総数,18,６　神経系及び感覚器の疾患,千人
342.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,19,　視器の疾患（再掲）,千人
240.4,22,推計患者数の年次推移,2,昭和５５年,1,総数,20,　聴器の疾患（再掲）,千人
1131,22,推計患者数の年次推移,2,昭和５５年,1,総数,21,７　循環系の疾患,千人
5.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,22,　リウマチ熱及びリウマチ性心疾患（再掲）,千人
554,22,推計患者数の年次推移,2,昭和５５年,1,総数,23,　高血圧性疾患（再掲）,千人
124.1,22,推計患者数の年次推移,2,昭和５５年,1,総数,24,　虚血性心疾患（再掲）,千人
81.5,22,推計患者数の年次推移,2,昭和５５年,1,総数,25,　その他の心疾患（再掲）,千人
258.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,26,　脳血管疾患（再掲）,千人
1145.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,27,８　呼吸系の疾患,千人
566.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,28,　急性上気道感染（再掲）,千人
184.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,29,　急性及び詳細不明の気管支炎（再掲）,千人
29.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,30,　肺炎（再掲）,千人
23.1,22,推計患者数の年次推移,2,昭和５５年,1,総数,31,　慢性気管支炎（再掲）,千人
106.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,32,　喘息（再掲）,千人
1809.1,22,推計患者数の年次推移,2,昭和５５年,1,総数,33,９　消化系の疾患,千人
1127.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,34,　歯及び歯の支持組織の疾患（再掲）,千人
167,22,推計患者数の年次推移,2,昭和５５年,1,総数,35,　胃及び十二指腸潰瘍（再掲）,千人
189.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,36,　胃炎及び十二指腸炎（再掲）,千人
12.7,22,推計患者数の年次推移,2,昭和５５年,1,総数,37,　虫垂炎（再掲）,千人
159.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,38,　肝の疾患（再掲）,千人
230.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,39,１０　泌尿生殖系の疾患,千人
52.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,40,　腎炎，ネフローゼ及び腎不全（再掲）,千人
82.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,41,　乳房及び女性生殖器の疾患（再掲）,千人
72.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,42,１１　妊娠，分娩及び産じょくの合併症,千人
6.8,22,推計患者数の年次推移,2,昭和５５年,1,総数,43,　妊娠高血圧症候群（再掲）,千人
22.4,22,推計患者数の年次推移,2,昭和５５年,1,総数,44,　正常分娩（再掲）,千人
358.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,45,１２　皮膚及び皮下組織の疾患,千人
780.2,22,推計患者数の年次推移,2,昭和５５年,1,総数,46,１３　筋骨格系及び結合組織の疾患,千人
64.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,47,　関節リウマチ（脊椎を除く。）（再掲）,千人
89,22,推計患者数の年次推移,2,昭和５５年,1,総数,48,　腰痛症（再掲）,千人
331.5,22,推計患者数の年次推移,2,昭和５５年,1,総数,49,　その他の脊柱疾患（再掲）,千人
32.6,22,推計患者数の年次推移,2,昭和５５年,1,総数,50,１４　先天異常,千人
5.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,51,１５　周産期に発生した主要病態,千人
55.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,52,１６　症状，徴候及び診断名不明確の状態,千人
475.3,22,推計患者数の年次推移,2,昭和５５年,1,総数,53,１７　損傷及び中毒,千人
123.7,22,推計患者数の年次推移,2,昭和５５年,1,総数,54,　骨折（再掲）,千人
86.5,22,推計患者数の年次推移,2,昭和５５年,1,総数,55,　Ｅ分類自動車交通事故（再掲）,千人
172.9,22,推計患者数の年次推移,2,昭和５５年,1,総数,56,Ｖ分類　健康状態に影響を及ぼす要因及び保健サービス受療の理由に関する補助分類,千人
127.8,22,推計患者数の年次推移,2,昭和５５年,1,総数,57,　歯の補綴（再掲）,千人
45.1,22,推計患者数の年次推移,2,昭和５５年,1,総数,58,　分娩前看護及び分娩後観察（再掲）,千人
1247.2,22,推計患者数の年次推移,2,昭和５５年,2,入院,1,総数,千人
55,22,推計患者数の年次推移,2,昭和５５年,2,入院,2,１　感染症及び寄生虫症,千人
3,22,推計患者数の年次推移,2,昭和５５年,2,入院,3,　腸管感染症（再掲）,千人
43,22,推計患者数の年次推移,2,昭和５５年,2,入院,4,　結核（再掲）,千人
1.3,22,推計患者数の年次推移,2,昭和５５年,2,入院,5,　発疹を伴うウイルス疾患（再掲）,千人
0.3,22,推計患者数の年次推移,2,昭和５５年,2,入院,6,　真菌症（再掲）,千人
92.6,22,推計患者数の年次推移,2,昭和５５年,2,入院,7,２　新生物,千人
19.5,22,推計患者数の年次推移,2,昭和５５年,2,入院,8,　胃の悪性新生物（再掲）,千人
50,22,推計患者数の年次推移,2,昭和５５年,2,入院,9,　その他の悪性新生物（再掲）,千人
33.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,10,３　内分泌，栄養及び代謝疾患並びに免疫障害,千人
3.2,22,推計患者数の年次推移,2,昭和５５年,2,入院,11,　甲状腺の疾患（再掲）,千人
27.4,22,推計患者数の年次推移,2,昭和５５年,2,入院,12,　糖尿病（再掲）,千人
5.9,22,推計患者数の年次推移,2,昭和５５年,2,入院,13,４　血液及び造血器の疾患,千人
4,22,推計患者数の年次推移,2,昭和５５年,2,入院,14,　貧血（再掲）,千人
286.6,22,推計患者数の年次推移,2,昭和５５年,2,入院,15,５　精神障害,千人
190.4,22,推計患者数の年次推移,2,昭和５５年,2,入院,16,　統合失調症（再掲）,千人
17.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,17,　神経症（再掲）,千人
62.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,18,６　神経系及び感覚器の疾患,千人
9.8,22,推計患者数の年次推移,2,昭和５５年,2,入院,19,　視器の疾患（再掲）,千人
2.9,22,推計患者数の年次推移,2,昭和５５年,2,入院,20,　聴器の疾患（再掲）,千人
248.6,22,推計患者数の年次推移,2,昭和５５年,2,入院,21,７　循環系の疾患,千人
2.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,22,　リウマチ熱及びリウマチ性心疾患（再掲）,千人
37.5,22,推計患者数の年次推移,2,昭和５５年,2,入院,23,　高血圧性疾患（再掲）,千人
28.5,22,推計患者数の年次推移,2,昭和５５年,2,入院,24,　虚血性心疾患（再掲）,千人
26.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,25,　その他の心疾患（再掲）,千人
138,22,推計患者数の年次推移,2,昭和５５年,2,入院,26,　脳血管疾患（再掲）,千人
53.3,22,推計患者数の年次推移,2,昭和５５年,2,入院,27,８　呼吸系の疾患,千人
1.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,28,　急性上気道感染（再掲）,千人
2.2,22,推計患者数の年次推移,2,昭和５５年,2,入院,29,　急性及び詳細不明の気管支炎（再掲）,千人
16,22,推計患者数の年次推移,2,昭和５５年,2,入院,30,　肺炎（再掲）,千人
2.9,22,推計患者数の年次推移,2,昭和５５年,2,入院,31,　慢性気管支炎（再掲）,千人
14.3,22,推計患者数の年次推移,2,昭和５５年,2,入院,32,　喘息（再掲）,千人
125.7,22,推計患者数の年次推移,2,昭和５５年,2,入院,33,９　消化系の疾患,千人
0.2,22,推計患者数の年次推移,2,昭和５５年,2,入院,34,　歯及び歯の支持組織の疾患（再掲）,千人
30.2,22,推計患者数の年次推移,2,昭和５５年,2,入院,35,　胃及び十二指腸潰瘍（再掲）,千人
4.9,22,推計患者数の年次推移,2,昭和５５年,2,入院,36,　胃炎及び十二指腸炎（再掲）,千人
8.6,22,推計患者数の年次推移,2,昭和５５年,2,入院,37,　虫垂炎（再掲）,千人
