value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
1.73,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1961000000,1961年
1.51,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1962000000,1962年
1.54,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1963000000,1963年
1.25,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1964000000,1964年
1.3,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1965000000,1965年
1.13,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1966000000,1966年
1.02,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1967000000,1967年
1,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1968000000,1968年
0.9,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1969000000,1969年
0.88,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1970000000,1970年
0.73,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1971000000,1971年
0.72,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1972000000,1972年
0.64,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1973000000,1973年
0.45,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1974000000,1974年
0.43,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1975000000,1975年
0.36,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1976000000,1976年
0.42,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1977000000,1977年
0.35,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1978000000,1978年
0.36,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1979000000,1979年
0.32,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1980000000,1980年
0.37,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1981000000,1981年
0.32,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1982000000,1982年
0.3,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1983000000,1983年
0.34,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1984000000,1984年
0.29,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1985000000,1985年
0.22,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1986000000,1986年
0.2,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1987000000,1987年
0.2,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1988000000,1988年
0.2,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1989000000,1989年
0.18,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1990000000,1990年
0.17,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1991000000,1991年
0.15,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1992000000,1992年
0.18,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1993000000,1993年
0.2,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1994000000,1994年
0.19,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1995000000,1995年
0.16,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1996000000,1996年
0.16,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1997000000,1997年
0.14,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1998000000,1998年
0.14,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1999000000,1999年
0.18,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2000000000,2000年
0.13,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2001000000,2001年
0.12,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2002000000,2002年
0.12,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2003000000,2003年
0.12,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2004000000,2004年
0.12,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2005000000,2005年
0.12,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2006000000,2006年
0.11,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2007000000,2007年
0.1,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2008000000,2008年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2009000000,2009年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2010000000,2010年
0.11,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2011000000,2011年
0.1,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2012000000,2012年
0.1,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2013000000,2013年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2014000000,2014年
0.07,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2015000000,2015年
0.1,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2016000000,2016年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2017000000,2017年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2018000000,2018年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2019000000,2019年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2020000000,2020年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2021000000,2021年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2022000000,2022年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2023000000,2023年
0.09,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2024000000,2024年
6.99,130,強度率,300,総合工事業,300,計,1952000000,1952年
7.89,130,強度率,300,総合工事業,300,計,1953000000,1953年
9.2,130,強度率,300,総合工事業,300,計,1954000000,1954年
6.73,130,強度率,300,総合工事業,300,計,1955000000,1955年
6.18,130,強度率,300,総合工事業,300,計,1956000000,1956年
6.87,130,強度率,300,総合工事業,300,計,1957000000,1957年
5.92,130,強度率,300,総合工事業,300,計,1958000000,1958年
5.94,130,強度率,300,総合工事業,300,計,1959000000,1959年
5.44,130,強度率,300,総合工事業,300,計,1960000000,1960年
5.02,130,強度率,300,総合工事業,300,計,1961000000,1961年
4.22,130,強度率,300,総合工事業,300,計,1962000000,1962年
3.22,130,強度率,300,総合工事業,300,計,1963000000,1963年
3.62,130,強度率,300,総合工事業,300,計,1964000000,1964年
3.63,130,強度率,300,総合工事業,300,計,1965000000,1965年
3.45,130,強度率,300,総合工事業,300,計,1966000000,1966年
2.76,130,強度率,300,総合工事業,300,計,1967000000,1967年
3.1,130,強度率,300,総合工事業,300,計,1968000000,1968年
3.47,130,強度率,300,総合工事業,300,計,1969000000,1969年
3.56,130,強度率,300,総合工事業,300,計,1970000000,1970年
2.85,130,強度率,300,総合工事業,300,計,1971000000,1971年
3.62,130,強度率,300,総合工事業,300,計,1972000000,1972年
2.86,130,強度率,300,総合工事業,300,計,1973000000,1973年
2.89,130,強度率,300,総合工事業,300,計,1974000000,1974年
1.8,130,強度率,300,総合工事業,300,計,1975000000,1975年
2.26,130,強度率,300,総合工事業,300,計,1976000000,1976年
0.97,130,強度率,300,総合工事業,300,計,1977000000,1977年
1.28,130,強度率,300,総合工事業,300,計,1978000000,1978年
1.47,130,強度率,300,総合工事業,300,計,1979000000,1979年
0.9,130,強度率,300,総合工事業,300,計,1980000000,1980年
0.9,130,強度率,300,総合工事業,300,計,1981000000,1981年
0.55,130,強度率,300,総合工事業,300,計,1982000000,1982年
0.88,130,強度率,300,総合工事業,300,計,1983000000,1983年
0.39,130,強度率,300,総合工事業,300,計,1984000000,1984年
0.22,130,強度率,300,総合工事業,300,計,1985000000,1985年
0.37,130,強度率,300,総合工事業,300,計,1986000000,1986年
0.54,130,強度率,300,総合工事業,300,計,1987000000,1987年
0.5,130,強度率,300,総合工事業,300,計,1988000000,1988年
0.88,130,強度率,300,総合工事業,300,計,1989000000,1989年
1.71,130,強度率,300,総合工事業,300,計,1990000000,1990年
0.54,130,強度率,300,総合工事業,300,計,1991000000,1991年
0.71,130,強度率,300,総合工事業,300,計,1992000000,1992年
0.43,130,強度率,300,総合工事業,300,計,1993000000,1993年
0.45,130,強度率,300,総合工事業,300,計,1994000000,1994年
0.72,130,強度率,300,総合工事業,300,計,1995000000,1995年
0.61,130,強度率,300,総合工事業,300,計,1996000000,1996年
0.37,130,強度率,300,総合工事業,300,計,1997000000,1997年
0.39,130,強度率,300,総合工事業,300,計,1998000000,1998年
0.3,130,強度率,300,総合工事業,300,計,1999000000,1999年
0.7,130,強度率,300,総合工事業,300,計,2000000000,2000年
0.47,130,強度率,300,総合工事業,300,計,2001000000,2001年
0.28,130,強度率,300,総合工事業,300,計,2002000000,2002年
