value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
1.6,16,推計患者数,1,入院,3,一般診療所,1,総数,10,３５～３９歳,1,平成２０年,千人
0.8,16,推計患者数,1,入院,3,一般診療所,1,総数,11,４０～４４歳,1,平成２０年,千人
1,16,推計患者数,1,入院,3,一般診療所,1,総数,12,４５～４９歳,1,平成２０年,千人
1.4,16,推計患者数,1,入院,3,一般診療所,1,総数,13,５０～５４歳,1,平成２０年,千人
2.1,16,推計患者数,1,入院,3,一般診療所,1,総数,14,５５～５９歳,1,平成２０年,千人
2.7,16,推計患者数,1,入院,3,一般診療所,1,総数,15,６０～６４歳,1,平成２０年,千人
2.8,16,推計患者数,1,入院,3,一般診療所,1,総数,16,６５～６９歳,1,平成２０年,千人
4.8,16,推計患者数,1,入院,3,一般診療所,1,総数,17,７０～７４歳,1,平成２０年,千人
7.2,16,推計患者数,1,入院,3,一般診療所,1,総数,18,７５～７９歳,1,平成２０年,千人
9.7,16,推計患者数,1,入院,3,一般診療所,1,総数,19,８０～８４歳,1,平成２０年,千人
9.5,16,推計患者数,1,入院,3,一般診療所,1,総数,20,８５～８９歳,1,平成２０年,千人
9,16,推計患者数,1,入院,3,一般診療所,1,総数,21,９０歳以上,1,平成２０年,千人
0.2,16,推計患者数,1,入院,3,一般診療所,1,総数,22,不詳,1,平成２０年,千人
43,16,推計患者数,1,入院,3,一般診療所,1,総数,23,６５歳以上（再掲）,1,平成２０年,千人
40.1,16,推計患者数,1,入院,3,一般診療所,1,総数,24,７０歳以上（再掲）,1,平成２０年,千人
35.3,16,推計患者数,1,入院,3,一般診療所,1,総数,25,７５歳以上（再掲）,1,平成２０年,千人
18.4,16,推計患者数,1,入院,3,一般診療所,2,男,1,総数,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,2,男,2,０歳,1,平成２０年,千人
0,16,推計患者数,1,入院,3,一般診療所,2,男,3,１～４歳,1,平成２０年,千人
0,16,推計患者数,1,入院,3,一般診療所,2,男,4,５～９歳,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,2,男,5,１０～１４歳,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,2,男,6,１５～１９歳,1,平成２０年,千人
0.3,16,推計患者数,1,入院,3,一般診療所,2,男,7,２０～２４歳,1,平成２０年,千人
0.2,16,推計患者数,1,入院,3,一般診療所,2,男,8,２５～２９歳,1,平成２０年,千人
0.4,16,推計患者数,1,入院,3,一般診療所,2,男,9,３０～３４歳,1,平成２０年,千人
0.4,16,推計患者数,1,入院,3,一般診療所,2,男,10,３５～３９歳,1,平成２０年,千人
0.5,16,推計患者数,1,入院,3,一般診療所,2,男,11,４０～４４歳,1,平成２０年,千人
0.6,16,推計患者数,1,入院,3,一般診療所,2,男,12,４５～４９歳,1,平成２０年,千人
0.9,16,推計患者数,1,入院,3,一般診療所,2,男,13,５０～５４歳,1,平成２０年,千人
1.2,16,推計患者数,1,入院,3,一般診療所,2,男,14,５５～５９歳,1,平成２０年,千人
1.4,16,推計患者数,1,入院,3,一般診療所,2,男,15,６０～６４歳,1,平成２０年,千人
1.3,16,推計患者数,1,入院,3,一般診療所,2,男,16,６５～６９歳,1,平成２０年,千人
2,16,推計患者数,1,入院,3,一般診療所,2,男,17,７０～７４歳,1,平成２０年,千人
2.5,16,推計患者数,1,入院,3,一般診療所,2,男,18,７５～７９歳,1,平成２０年,千人
2.9,16,推計患者数,1,入院,3,一般診療所,2,男,19,８０～８４歳,1,平成２０年,千人
1.9,16,推計患者数,1,入院,3,一般診療所,2,男,20,８５～８９歳,1,平成２０年,千人
1.3,16,推計患者数,1,入院,3,一般診療所,2,男,21,９０歳以上,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,2,男,22,不詳,1,平成２０年,千人
12,16,推計患者数,1,入院,3,一般診療所,2,男,23,６５歳以上（再掲）,1,平成２０年,千人
10.7,16,推計患者数,1,入院,3,一般診療所,2,男,24,７０歳以上（再掲）,1,平成２０年,千人
8.6,16,推計患者数,1,入院,3,一般診療所,2,男,25,７５歳以上（再掲）,1,平成２０年,千人
41.4,16,推計患者数,1,入院,3,一般診療所,3,女,1,総数,1,平成２０年,千人
0.2,16,推計患者数,1,入院,3,一般診療所,3,女,2,０歳,1,平成２０年,千人
0,16,推計患者数,1,入院,3,一般診療所,3,女,3,１～４歳,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,3,女,4,５～９歳,1,平成２０年,千人
0,16,推計患者数,1,入院,3,一般診療所,3,女,5,１０～１４歳,1,平成２０年,千人
0.2,16,推計患者数,1,入院,3,一般診療所,3,女,6,１５～１９歳,1,平成２０年,千人
0.8,16,推計患者数,1,入院,3,一般診療所,3,女,7,２０～２４歳,1,平成２０年,千人
2.2,16,推計患者数,1,入院,3,一般診療所,3,女,8,２５～２９歳,1,平成２０年,千人
2.5,16,推計患者数,1,入院,3,一般診療所,3,女,9,３０～３４歳,1,平成２０年,千人
1.2,16,推計患者数,1,入院,3,一般診療所,3,女,10,３５～３９歳,1,平成２０年,千人
0.3,16,推計患者数,1,入院,3,一般診療所,3,女,11,４０～４４歳,1,平成２０年,千人
0.3,16,推計患者数,1,入院,3,一般診療所,3,女,12,４５～４９歳,1,平成２０年,千人
0.4,16,推計患者数,1,入院,3,一般診療所,3,女,13,５０～５４歳,1,平成２０年,千人
0.9,16,推計患者数,1,入院,3,一般診療所,3,女,14,５５～５９歳,1,平成２０年,千人
1.3,16,推計患者数,1,入院,3,一般診療所,3,女,15,６０～６４歳,1,平成２０年,千人
1.5,16,推計患者数,1,入院,3,一般診療所,3,女,16,６５～６９歳,1,平成２０年,千人
2.7,16,推計患者数,1,入院,3,一般診療所,3,女,17,７０～７４歳,1,平成２０年,千人
4.6,16,推計患者数,1,入院,3,一般診療所,3,女,18,７５～７９歳,1,平成２０年,千人
6.8,16,推計患者数,1,入院,3,一般診療所,3,女,19,８０～８４歳,1,平成２０年,千人
7.6,16,推計患者数,1,入院,3,一般診療所,3,女,20,８５～８９歳,1,平成２０年,千人
7.7,16,推計患者数,1,入院,3,一般診療所,3,女,21,９０歳以上,1,平成２０年,千人
0.1,16,推計患者数,1,入院,3,一般診療所,3,女,22,不詳,1,平成２０年,千人
31,16,推計患者数,1,入院,3,一般診療所,3,女,23,６５歳以上（再掲）,1,平成２０年,千人
29.4,16,推計患者数,1,入院,3,一般診療所,3,女,24,７０歳以上（再掲）,1,平成２０年,千人
26.7,16,推計患者数,1,入院,3,一般診療所,3,女,25,７５歳以上（再掲）,1,平成２０年,千人
6865,16,推計患者数,2,外来,1,総数,1,総数,1,総数,1,平成２０年,千人
64,16,推計患者数,2,外来,1,総数,1,総数,2,０歳,1,平成２０年,千人
261.6,16,推計患者数,2,外来,1,総数,1,総数,3,１～４歳,1,平成２０年,千人
237,16,推計患者数,2,外来,1,総数,1,総数,4,５～９歳,1,平成２０年,千人
136.1,16,推計患者数,2,外来,1,総数,1,総数,5,１０～１４歳,1,平成２０年,千人
117.3,16,推計患者数,2,外来,1,総数,1,総数,6,１５～１９歳,1,平成２０年,千人
151.5,16,推計患者数,2,外来,1,総数,1,総数,7,２０～２４歳,1,平成２０年,千人
202.1,16,推計患者数,2,外来,1,総数,1,総数,8,２５～２９歳,1,平成２０年,千人
268.8,16,推計患者数,2,外来,1,総数,1,総数,9,３０～３４歳,1,平成２０年,千人
297.1,16,推計患者数,2,外来,1,総数,1,総数,10,３５～３９歳,1,平成２０年,千人
278.5,16,推計患者数,2,外来,1,総数,1,総数,11,４０～４４歳,1,平成２０年,千人
284.7,16,推計患者数,2,外来,1,総数,1,総数,12,４５～４９歳,1,平成２０年,千人
338,16,推計患者数,2,外来,1,総数,1,総数,13,５０～５４歳,1,平成２０年,千人
513.9,16,推計患者数,2,外来,1,総数,1,総数,14,５５～５９歳,1,平成２０年,千人
615.6,16,推計患者数,2,外来,1,総数,1,総数,15,６０～６４歳,1,平成２０年,千人
687.3,16,推計患者数,2,外来,1,総数,1,総数,16,６５～６９歳,1,平成２０年,千人
797.2,16,推計患者数,2,外来,1,総数,1,総数,17,７０～７４歳,1,平成２０年,千人
733.4,16,推計患者数,2,外来,1,総数,1,総数,18,７５～７９歳,1,平成２０年,千人
508.6,16,推計患者数,2,外来,1,総数,1,総数,19,８０～８４歳,1,平成２０年,千人
240.6,16,推計患者数,2,外来,1,総数,1,総数,20,８５～８９歳,1,平成２０年,千人
109.8,16,推計患者数,2,外来,1,総数,1,総数,21,９０歳以上,1,平成２０年,千人
21.9,16,推計患者数,2,外来,1,総数,1,総数,22,不詳,1,平成２０年,千人
3076.8,16,推計患者数,2,外来,1,総数,1,総数,23,６５歳以上（再掲）,1,平成２０年,千人
2389.5,16,推計患者数,2,外来,1,総数,1,総数,24,７０歳以上（再掲）,1,平成２０年,千人
1592.3,16,推計患者数,2,外来,1,総数,1,総数,25,７５歳以上（再掲）,1,平成２０年,千人
2918.5,16,推計患者数,2,外来,1,総数,2,男,1,総数,1,平成２０年,千人
34.1,16,推計患者数,2,外来,1,総数,2,男,2,０歳,1,平成２０年,千人
136.9,16,推計患者数,2,外来,1,総数,2,男,3,１～４歳,1,平成２０年,千人
125,16,推計患者数,2,外来,1,総数,2,男,4,５～９歳,1,平成２０年,千人
73.2,16,推計患者数,2,外来,1,総数,2,男,5,１０～１４歳,1,平成２０年,千人
54.4,16,推計患者数,2,外来,1,総数,2,男,6,１５～１９歳,1,平成２０年,千人
55.3,16,推計患者数,2,外来,1,総数,2,男,7,２０～２４歳,1,平成２０年,千人
70.7,16,推計患者数,2,外来,1,総数,2,男,8,２５～２９歳,1,平成２０年,千人
