value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
67,00700,全域,000,男女総数,T01,総数,003,アメリカ,44000,大分県,1980000000,1980年,人
53,00700,全域,000,男女総数,T01,総数,003,アメリカ,45000,宮崎県,1980000000,1980年,人
139,00700,全域,000,男女総数,T01,総数,003,アメリカ,46000,鹿児島県,1980000000,1980年,人
1837,00700,全域,000,男女総数,T01,総数,003,アメリカ,47000,沖縄県,1980000000,1980年,人
29521,00700,全域,000,男女総数,T01,総数,004,その他,00000,全国,1980000000,1980年,人
26446,00700,全域,000,男女総数,T01,総数,004,その他,00001,全国市部,1980000000,1980年,人
3075,00700,全域,000,男女総数,T01,総数,004,その他,00002,全国郡部,1980000000,1980年,人
479,00700,全域,000,男女総数,T01,総数,004,その他,01000,北海道,1980000000,1980年,人
75,00700,全域,000,男女総数,T01,総数,004,その他,02000,青森県,1980000000,1980年,人
99,00700,全域,000,男女総数,T01,総数,004,その他,03000,岩手県,1980000000,1980年,人
248,00700,全域,000,男女総数,T01,総数,004,その他,04000,宮城県,1980000000,1980年,人
85,00700,全域,000,男女総数,T01,総数,004,その他,05000,秋田県,1980000000,1980年,人
49,00700,全域,000,男女総数,T01,総数,004,その他,06000,山形県,1980000000,1980年,人
150,00700,全域,000,男女総数,T01,総数,004,その他,07000,福島県,1980000000,1980年,人
419,00700,全域,000,男女総数,T01,総数,004,その他,08000,茨城県,1980000000,1980年,人
182,00700,全域,000,男女総数,T01,総数,004,その他,09000,栃木県,1980000000,1980年,人
260,00700,全域,000,男女総数,T01,総数,004,その他,10000,群馬県,1980000000,1980年,人
703,00700,全域,000,男女総数,T01,総数,004,その他,11000,埼玉県,1980000000,1980年,人
872,00700,全域,000,男女総数,T01,総数,004,その他,12000,千葉県,1980000000,1980年,人
10542,00700,全域,000,男女総数,T01,総数,004,その他,13000,東京都,1980000000,1980年,人
2792,00700,全域,000,男女総数,T01,総数,004,その他,14000,神奈川県,1980000000,1980年,人
170,00700,全域,000,男女総数,T01,総数,004,その他,15000,新潟県,1980000000,1980年,人
77,00700,全域,000,男女総数,T01,総数,004,その他,16000,富山県,1980000000,1980年,人
75,00700,全域,000,男女総数,T01,総数,004,その他,17000,石川県,1980000000,1980年,人
63,00700,全域,000,男女総数,T01,総数,004,その他,18000,福井県,1980000000,1980年,人
83,00700,全域,000,男女総数,T01,総数,004,その他,19000,山梨県,1980000000,1980年,人
251,00700,全域,000,男女総数,T01,総数,004,その他,20000,長野県,1980000000,1980年,人
97,00700,全域,000,男女総数,T01,総数,004,その他,21000,岐阜県,1980000000,1980年,人
566,00700,全域,000,男女総数,T01,総数,004,その他,22000,静岡県,1980000000,1980年,人
957,00700,全域,000,男女総数,T01,総数,004,その他,23000,愛知県,1980000000,1980年,人
92,00700,全域,000,男女総数,T01,総数,004,その他,24000,三重県,1980000000,1980年,人
188,00700,全域,000,男女総数,T01,総数,004,その他,25000,滋賀県,1980000000,1980年,人
637,00700,全域,000,男女総数,T01,総数,004,その他,26000,京都府,1980000000,1980年,人
1416,00700,全域,000,男女総数,T01,総数,004,その他,27000,大阪府,1980000000,1980年,人
3161,00700,全域,000,男女総数,T01,総数,004,その他,28000,兵庫県,1980000000,1980年,人
234,00700,全域,000,男女総数,T01,総数,004,その他,29000,奈良県,1980000000,1980年,人
119,00700,全域,000,男女総数,T01,総数,004,その他,30000,和歌山県,1980000000,1980年,人
77,00700,全域,000,男女総数,T01,総数,004,その他,31000,鳥取県,1980000000,1980年,人
32,00700,全域,000,男女総数,T01,総数,004,その他,32000,島根県,1980000000,1980年,人
195,00700,全域,000,男女総数,T01,総数,004,その他,33000,岡山県,1980000000,1980年,人
595,00700,全域,000,男女総数,T01,総数,004,その他,34000,広島県,1980000000,1980年,人
189,00700,全域,000,男女総数,T01,総数,004,その他,35000,山口県,1980000000,1980年,人
81,00700,全域,000,男女総数,T01,総数,004,その他,36000,徳島県,1980000000,1980年,人
81,00700,全域,000,男女総数,T01,総数,004,その他,37000,香川県,1980000000,1980年,人
125,00700,全域,000,男女総数,T01,総数,004,その他,38000,愛媛県,1980000000,1980年,人
73,00700,全域,000,男女総数,T01,総数,004,その他,39000,高知県,1980000000,1980年,人
549,00700,全域,000,男女総数,T01,総数,004,その他,40000,福岡県,1980000000,1980年,人
40,00700,全域,000,男女総数,T01,総数,004,その他,41000,佐賀県,1980000000,1980年,人
306,00700,全域,000,男女総数,T01,総数,004,その他,42000,長崎県,1980000000,1980年,人
206,00700,全域,000,男女総数,T01,総数,004,その他,43000,熊本県,1980000000,1980年,人
185,00700,全域,000,男女総数,T01,総数,004,その他,44000,大分県,1980000000,1980年,人
167,00700,全域,000,男女総数,T01,総数,004,その他,45000,宮崎県,1980000000,1980年,人
167,00700,全域,000,男女総数,T01,総数,004,その他,46000,鹿児島県,1980000000,1980年,人
1312,00700,全域,000,男女総数,T01,総数,004,その他,47000,沖縄県,1980000000,1980年,人
57336,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,00000,全国,1980000000,1980年,人
52707,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,00001,全国市部,1980000000,1980年,人
4629,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,00002,全国郡部,1980000000,1980年,人
601,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,01000,北海道,1980000000,1980年,人
196,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,02000,青森県,1980000000,1980年,人
155,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,03000,岩手県,1980000000,1980年,人
362,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,04000,宮城県,1980000000,1980年,人
112,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,05000,秋田県,1980000000,1980年,人
69,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,06000,山形県,1980000000,1980年,人
280,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,07000,福島県,1980000000,1980年,人
418,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,08000,茨城県,1980000000,1980年,人
214,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,09000,栃木県,1980000000,1980年,人
297,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,10000,群馬県,1980000000,1980年,人
1034,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,11000,埼玉県,1980000000,1980年,人
1079,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,12000,千葉県,1980000000,1980年,人
6804,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,13000,東京都,1980000000,1980年,人
2705,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,14000,神奈川県,1980000000,1980年,人
286,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,15000,新潟県,1980000000,1980年,人
184,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,16000,富山県,1980000000,1980年,人
299,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,17000,石川県,1980000000,1980年,人
409,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,18000,福井県,1980000000,1980年,人
147,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,19000,山梨県,1980000000,1980年,人
448,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,20000,長野県,1980000000,1980年,人
849,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,21000,岐阜県,1980000000,1980年,人
698,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,22000,静岡県,1980000000,1980年,人
4399,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,23000,愛知県,1980000000,1980年,人
755,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,24000,三重県,1980000000,1980年,人
681,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,25000,滋賀県,1980000000,1980年,人
3878,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,26000,京都府,1980000000,1980年,人
14459,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,27000,大阪府,1980000000,1980年,人
6621,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,28000,兵庫県,1980000000,1980年,人
475,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,29000,奈良県,1980000000,1980年,人
419,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,30000,和歌山県,1980000000,1980年,人
172,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,31000,鳥取県,1980000000,1980年,人
149,00700,全域,000,男女総数,200,0～4歳,000,国籍総数,32000,島根県,1980000000,1980年,人
