value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
83054,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,37000,香川県,1980000000,1980年,人
129551,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,38000,愛媛県,1980000000,1980年,人
74176,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,39000,高知県,1980000000,1980年,人
472027,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,40000,福岡県,1980000000,1980年,人
78905,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,41000,佐賀県,1980000000,1980年,人
150750,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,42000,長崎県,1980000000,1980年,人
169256,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,43000,熊本県,1980000000,1980年,人
102296,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,44000,大分県,1980000000,1980年,人
100896,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,45000,宮崎県,1980000000,1980年,人
163701,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,46000,鹿児島県,1980000000,1980年,人
134771,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,47000,沖縄県,1980000000,1980年,人
29386831,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,00000,全国,1980000000,1980年,人
22053190,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,00001,全国市部,1980000000,1980年,人
7333641,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,00002,全国郡部,1980000000,1980年,人
1443205,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,01000,北海道,1980000000,1980年,人
380346,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,02000,青森県,1980000000,1980年,人
366910,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,03000,岩手県,1980000000,1980年,人
529336,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,04000,宮城県,1980000000,1980年,人
