value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
0,110,採用企業数,130,営業,50270,その他,2007000000,2007年,社
1,110,採用企業数,130,営業,50270,その他,2006000000,2006年,社
－,110,採用企業数,140,技術職計,50000,計,2015000000,2015年,社
－,110,採用企業数,140,技術職計,50000,計,2014000000,2014年,社
－,110,採用企業数,140,技術職計,50000,計,2013000000,2013年,社
－,110,採用企業数,140,技術職計,50000,計,2012000000,2012年,社
－,110,採用企業数,140,技術職計,50000,計,2009000000,2009年,社
－,110,採用企業数,140,技術職計,50000,計,2008000000,2008年,社
－,110,採用企業数,140,技術職計,50000,計,2007000000,2007年,社
－,110,採用企業数,140,技術職計,50000,計,2006000000,2006年,社
14,110,採用企業数,140,技術職計,50100,大韓民国,2015000000,2015年,社
13,110,採用企業数,140,技術職計,50100,大韓民国,2014000000,2014年,社
10,110,採用企業数,140,技術職計,50100,大韓民国,2013000000,2013年,社
13,110,採用企業数,140,技術職計,50100,大韓民国,2012000000,2012年,社
9,110,採用企業数,140,技術職計,50100,大韓民国,2009000000,2009年,社
8,110,採用企業数,140,技術職計,50100,大韓民国,2008000000,2008年,社
8,110,採用企業数,140,技術職計,50100,大韓民国,2007000000,2007年,社
9,110,採用企業数,140,技術職計,50100,大韓民国,2006000000,2006年,社
25,110,採用企業数,140,技術職計,50110,中華人民共和国,2015000000,2015年,社
23,110,採用企業数,140,技術職計,50110,中華人民共和国,2014000000,2014年,社
20,110,採用企業数,140,技術職計,50110,中華人民共和国,2013000000,2013年,社
20,110,採用企業数,140,技術職計,50110,中華人民共和国,2012000000,2012年,社
22,110,採用企業数,140,技術職計,50110,中華人民共和国,2009000000,2009年,社
16,110,採用企業数,140,技術職計,50110,中華人民共和国,2008000000,2008年,社
15,110,採用企業数,140,技術職計,50110,中華人民共和国,2007000000,2007年,社
14,110,採用企業数,140,技術職計,50110,中華人民共和国,2006000000,2006年,社
